,code,description,abs_val
0,A191RL1,    Gross domestic product,3.28875
1,DPCERY2,Personal consumption expenditures,1.49625
2,DGDSRY2,  Goods,0.2675
3,DDURRY2,    Durable goods,0.09875
4,DMOTRY2,      Motor vehicles and parts,0.03625
5,DFDHRY2,      Furnishings and durable household equipment,0.01875
6,DREQRY2,      Recreational goods and vehicles,0.02125
7,DODGRY2,      Other durable goods,0.0225
8,DNDGRY2,    Nondurable goods,0.16875
9,DFXARY2,      Food and beverages purchased for off-premises consumption,0.05375
10,DCLORY2,      Clothing and footwear,0.02625
11,DGOERY2,      Gasoline and other energy goods,0.03125
12,DONGRY2,      Other nondurable goods,0.0575
13,DSERRY2,  Services,1.22875
14,DHCERY2,    Household consumption expenditures (for services),0.72
15,DHUTRY2,      Housing and utilities,0.03
16,DHLCRY2,      Health care,0.31625
17,DTRSRY2,      Transportation services,0.03875
18,DRCARY2,      Recreation services,0.08
19,DFSARY2,      Food services and accommodations,0.03375
20,DIFSRY2,      Financial services and insurance,0.11875
21,DOTSRY2,      Other services,0.1025
22,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,0.50875
23,DNPERY2,      Gross output of nonprofit institutions \2\,0.22
24,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,0.28875
25,A006RY2,Gross private domestic investment,1.19125
26,A007RY2,  Fixed investment,0.63375
27,A008RY2,    Nonresidential,0.5675
28,A009RY2,      Structures,0.1275
29,Y033RY2,      Equipment,0.27375
30,Y034RY2,        Information processing equipment,0.09625
31,B935RY2,          Computers and peripheral equipment,0.03375
32,A937RY2,          Other,0.0625
33,A680RY2,        Industrial equipment,0.05125
34,A681RY2,        Transportation equipment,0.075
35,A862RY2,        Other equipment,0.05125
36,Y001RY2,      Intellectual property products,0.16625
37,B985RY2,        Software \4\,0.0325
38,Y006RY2,        Research and development \5\,0.11875
39,Y020RY2,"        Entertainment, literary, and artistic originals",0.015
40,A011RY2,    Residential,0.06625
41,A014RY2,  Change in private inventories,0.5575
42,B018RY2,    Farm,0.0425
43,A015RY2,    Nonfarm,0.515
44,A019RY2,Net exports of goods and services,0.48375
45,A020RY2,  Exports,0.19375
46,A253RY2,    Goods,0.1075
47,A646RY2,    Services,0.08625
48,A021RY2,  Imports,0.29
49,A255RY2,    Goods,0.25125
50,A656RY2,    Services,0.03875
51,A822RY2,Government consumption expenditures and gross investment,0.1175
52,A823RY2,  Federal,0.04
53,A824RY2,    National defense,0.02
54,A997RY2,      Consumption expenditures,0.01875
55,A788RY2,      Gross investment,0.00125
56,A825RY2,    Nondefense,0.02
57,A542RY2,      Consumption expenditures,0.01125
58,A798RY2,      Gross investment,0.00875
59,A829RY2,  State and local,0.0775
60,A991RY2,    Consumption expenditures,0.01125
61,A799RY2,    Gross investment,0.06625
